,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03392362594604492,0.0028543548005561573,0.004508495330810547,0.002284318767772256,0.5611516415334505,0.9507143064099162,"{'clf__C': np.float64(0.5611516415334505), 'clf__l1_ratio': np.float64(0.9507143064099162)}",0.7542113323124043,0.7212863705972435,0.7302681992337164,0.7379310344827587,0.7134099616858237,0.7314213796623894,0.014072789055823274,4
1,0.032645368576049806,0.0017369117622519003,0.007416200637817383,0.007274391711087947,2.9106359131330697,0.5986584841970366,"{'clf__C': np.float64(2.9106359131330697), 'clf__l1_ratio': np.float64(0.5986584841970366)}",0.7542113323124043,0.722052067381317,0.7302681992337164,0.7371647509578544,0.7134099616858237,0.7314212623142232,0.013898872406109231,6
2,0.03306479454040527,0.010027269944925686,0.004003190994262695,0.00620186456650955,0.20513382630874505,0.15599452033620265,"{'clf__C': np.float64(0.20513382630874505), 'clf__l1_ratio': np.float64(0.15599452033620265)}",0.7534456355283308,0.7212863705972435,0.7310344827586207,0.7379310344827587,0.7134099616858237,0.7314214970105555,0.013818268543860656,2
3,0.03457002639770508,0.0037743413231445784,0.003412628173828125,0.006268066210950413,0.13066739238053282,0.8661761457749352,"{'clf__C': np.float64(0.13066739238053282), 'clf__l1_ratio': np.float64(0.8661761457749352)}",0.7526799387442573,0.722052067381317,0.7318007662835249,0.7386973180076628,0.7126436781609196,0.7315747537155362,0.01374974920169418,1
4,0.03351106643676758,0.0038263577660804606,0.007424068450927734,0.007151686334660331,1.5930522616241019,0.7080725777960455,"{'clf__C': np.float64(1.5930522616241019), 'clf__l1_ratio': np.float64(0.7080725777960455)}",0.7542113323124043,0.722052067381317,0.7302681992337164,0.7371647509578544,0.7134099616858237,0.7314212623142232,0.013898872406109231,6
5,0.03683881759643555,0.00971462364908067,0.006006860733032226,0.0058402159011528365,0.10994335574766201,0.9699098521619943,"{'clf__C': np.float64(0.10994335574766201), 'clf__l1_ratio': np.float64(0.9699098521619943)}",0.7526799387442573,0.722052067381317,0.7310344827586207,0.7386973180076628,0.7126436781609196,0.7314214970105555,0.013750646446515441,2
6,0.043766021728515625,0.0169484492878405,0.006944036483764649,0.006756401908723046,4.622589001020832,0.21233911067827616,"{'clf__C': np.float64(4.622589001020832), 'clf__l1_ratio': np.float64(0.21233911067827616)}",0.7542113323124043,0.722052067381317,0.7302681992337164,0.7371647509578544,0.7134099616858237,0.7314212623142232,0.013898872406109231,6
7,0.034206199645996097,0.002100302873785814,0.005440807342529297,0.000433591638434873,0.23102018878452935,0.18340450985343382,"{'clf__C': np.float64(0.23102018878452935), 'clf__l1_ratio': np.float64(0.18340450985343382)}",0.7534456355283308,0.7212863705972435,0.7302681992337164,0.7379310344827587,0.7134099616858237,0.7312682403055746,0.01382595823365598,10
8,0.03126435279846192,0.0062021595610995146,0.006416225433349609,0.005119354833161631,0.4059611610484306,0.5247564316322378,"{'clf__C': np.float64(0.4059611610484306), 'clf__l1_ratio': np.float64(0.5247564316322378)}",0.7542113323124043,0.7212863705972435,0.7302681992337164,0.7379310344827587,0.7134099616858237,0.7314213796623894,0.014072789055823274,4
9,0.03400421142578125,0.009314325272771522,0.005871248245239258,0.00729993389101115,0.7309539835912913,0.2912291401980419,"{'clf__C': np.float64(0.7309539835912913), 'clf__l1_ratio': np.float64(0.2912291401980419)}",0.7542113323124043,0.722052067381317,0.7302681992337164,0.7371647509578544,0.7134099616858237,0.7314212623142232,0.013898872406109231,6
