,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03592128753662109,0.0037526118891364982,0.005521917343139648,0.0017750620028186802,0.5611516415334505,0.9507143064099162,"{'clf__C': np.float64(0.5611516415334505), 'clf__l1_ratio': np.float64(0.9507143064099162)}",0.7457886676875957,0.7098009188361409,0.7279693486590039,0.7264367816091954,0.70727969348659,0.7234550820557051,0.013972383840692961,1
1,0.03229513168334961,0.0028644999222165344,0.004273748397827149,0.0005312505802478869,2.9106359131330697,0.5986584841970366,"{'clf__C': np.float64(2.9106359131330697), 'clf__l1_ratio': np.float64(0.5986584841970366)}",0.7457886676875957,0.7098009188361409,0.7272030651340996,0.7256704980842912,0.70727969348659,0.7231485686457435,0.013894992686205788,7
2,0.0327817440032959,0.0013274816993345895,0.004147815704345703,0.0005329585772857693,0.20513382630874505,0.15599452033620265,"{'clf__C': np.float64(0.20513382630874505), 'clf__l1_ratio': np.float64(0.15599452033620265)}",0.7457886676875957,0.7090352220520674,0.7279693486590039,0.7264367816091954,0.70727969348659,0.7233019426988905,0.014124563582236961,4
3,0.03825235366821289,0.0017836437679680265,0.005093765258789062,0.0011592127999211028,0.13066739238053282,0.8661761457749352,"{'clf__C': np.float64(0.13066739238053282), 'clf__l1_ratio': np.float64(0.8661761457749352)}",0.7465543644716692,0.7098009188361409,0.728735632183908,0.7256704980842912,0.7057471264367816,0.7233017080025582,0.014603146054162568,6
4,0.036785221099853514,0.004023963952223225,0.004454565048217773,0.0006832095679405554,1.5930522616241019,0.7080725777960455,"{'clf__C': np.float64(1.5930522616241019), 'clf__l1_ratio': np.float64(0.7080725777960455)}",0.7457886676875957,0.7098009188361409,0.7272030651340996,0.7256704980842912,0.70727969348659,0.7231485686457435,0.013894992686205788,7
5,0.04245848655700683,0.007589817458139159,0.0045583248138427734,0.00021676809525575274,0.10994335574766201,0.9699098521619943,"{'clf__C': np.float64(0.10994335574766201), 'clf__l1_ratio': np.float64(0.9699098521619943)}",0.7473200612557427,0.7098009188361409,0.728735632183908,0.7256704980842912,0.7057471264367816,0.7234548473593729,0.01484814719220723,3
6,0.037060117721557616,0.0039527285971007855,0.004144430160522461,0.0004469447617383718,4.622589001020832,0.21233911067827616,"{'clf__C': np.float64(4.622589001020832), 'clf__l1_ratio': np.float64(0.21233911067827616)}",0.7457886676875957,0.7098009188361409,0.7272030651340996,0.7256704980842912,0.70727969348659,0.7231485686457435,0.013894992686205788,7
7,0.03482265472412109,0.0023615362902953585,0.004467487335205078,0.0006075876209292938,0.23102018878452935,0.18340450985343382,"{'clf__C': np.float64(0.23102018878452935), 'clf__l1_ratio': np.float64(0.18340450985343382)}",0.7457886676875957,0.7090352220520674,0.7279693486590039,0.7264367816091954,0.70727969348659,0.7233019426988905,0.014124563582236961,4
8,0.035792064666748044,0.0022045763147990243,0.004233646392822266,0.0003436878501578139,0.4059611610484306,0.5247564316322378,"{'clf__C': np.float64(0.4059611610484306), 'clf__l1_ratio': np.float64(0.5247564316322378)}",0.7457886676875957,0.7098009188361409,0.7279693486590039,0.7264367816091954,0.70727969348659,0.7234550820557051,0.013972383840692961,1
9,0.03256125450134277,0.0011525881124474328,0.004198217391967773,0.0002203696413514441,0.7309539835912913,0.2912291401980419,"{'clf__C': np.float64(0.7309539835912913), 'clf__l1_ratio': np.float64(0.2912291401980419)}",0.7457886676875957,0.7098009188361409,0.7272030651340996,0.7256704980842912,0.70727969348659,0.7231485686457435,0.013894992686205788,7
