,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5930723190307617,0.1884896232869127,0.007934808731079102,0.003145785483652552,0.5611516415334505,0.9507143064099162,"{'clf__C': np.float64(0.5611516415334505), 'clf__l1_ratio': np.float64(0.9507143064099162)}",0.7588055130168453,0.7350689127105666,0.7256704980842912,0.7318007662835249,0.7187739463601532,0.7340239272910762,0.013583100738655879,9
1,0.652155590057373,0.2343799628927638,0.006957578659057617,0.0007203158583306681,2.9106359131330697,0.5986584841970366,"{'clf__C': np.float64(2.9106359131330697), 'clf__l1_ratio': np.float64(0.5986584841970366)}",0.7618683001531393,0.7366003062787136,0.7264367816091954,0.7325670498084291,0.7187739463601532,0.7352492768419262,0.01460608510965027,3
2,0.5315502643585205,0.190871419461066,0.006497812271118164,0.0004019878765072109,0.20513382630874505,0.15599452033620265,"{'clf__C': np.float64(0.20513382630874505), 'clf__l1_ratio': np.float64(0.15599452033620265)}",0.7603369065849923,0.7350689127105666,0.7256704980842912,0.7310344827586207,0.7164750957854407,0.7337171791847823,0.014694709573067545,10
3,2.454764747619629,0.17637797148208284,0.006519746780395508,0.0002806803174550899,0.13066739238053282,0.8661761457749352,"{'clf__C': np.float64(0.13066739238053282), 'clf__l1_ratio': np.float64(0.8661761457749352)}",0.7588055130168453,0.7297090352220521,0.7295019157088123,0.7318007662835249,0.7218390804597701,0.7343312621382009,0.012697515796624943,7
4,0.585765027999878,0.23668070252563791,0.006493186950683594,0.0006137071064533054,1.5930522616241019,0.7080725777960455,"{'clf__C': np.float64(1.5930522616241019), 'clf__l1_ratio': np.float64(0.7080725777960455)}",0.7611026033690659,0.7366003062787136,0.7264367816091954,0.7333333333333333,0.7187739463601532,0.7352493941900924,0.014303756144647994,2
5,1.3994281768798829,0.11377954927004177,0.006518507003784179,0.00032461607044854924,0.10994335574766201,0.9699098521619943,"{'clf__C': np.float64(0.10994335574766201), 'clf__l1_ratio': np.float64(0.9699098521619943)}",0.7565084226646248,0.7304747320061256,0.7310344827586207,0.7333333333333333,0.7210727969348659,0.7344847535395141,0.011783318644153256,5
6,0.6061268806457519,0.2621019721841237,0.006520462036132812,0.0002241671477608146,4.622589001020832,0.21233911067827616,"{'clf__C': np.float64(4.622589001020832), 'clf__l1_ratio': np.float64(0.21233911067827616)}",0.7626339969372129,0.7366003062787136,0.7264367816091954,0.7325670498084291,0.7203065134099617,0.7357089296087025,0.014552198218661133,1
7,0.5572447776794434,0.18880608665419205,0.006252813339233399,0.00027150344871411765,0.23102018878452935,0.18340450985343382,"{'clf__C': np.float64(0.23102018878452935), 'clf__l1_ratio': np.float64(0.18340450985343382)}",0.7603369065849923,0.7358346094946401,0.7264367816091954,0.7318007662835249,0.7172413793103448,0.7343300886565395,0.014417655264605119,8
8,0.586566162109375,0.19228888749655895,0.006862115859985351,0.0006047817506388503,0.4059611610484306,0.5247564316322378,"{'clf__C': np.float64(0.4059611610484306), 'clf__l1_ratio': np.float64(0.5247564316322378)}",0.7603369065849923,0.7358346094946401,0.7256704980842912,0.7318007662835249,0.7187739463601532,0.7344833453615204,0.014155424877543505,6
9,0.5816304206848144,0.2454364743061464,0.008344411849975586,0.0020618996328123917,0.7309539835912913,0.2912291401980419,"{'clf__C': np.float64(0.7309539835912913), 'clf__l1_ratio': np.float64(0.2912291401980419)}",0.7618683001531393,0.7366003062787136,0.7256704980842912,0.7325670498084291,0.7187739463601532,0.7350960201369453,0.014701456413052729,4
